id,store,current_category,new_category,title
1378,Shopee,Cadeiras de Escritorio,Bolsas e Mochilas,Bolsa Térmica 2 Compartimentos Com Alça De Mão E Lateral Isolamento Térmico Eficiente
1316,Shopee,Escovas Eletricas,Utilidades Domesticas,ROMANTIC CROWN Copo Térmico Inox Portátil 1200ml/600ml/1.2L Garrafa Térmica Inoxidável com Tampa e Canudo
3594,Shopee,Panelas Eletricas,Pet Shop,Kit 12 Peças Utensílios Cozinha Silicone Cabo Madeira decoração elegante livre BPA premium chef
1632,Shopee,Escovas Eletricas,Aspiradores,Robô Aspirador Inteligente Branco/Preto - Limpeza Automática e Design Compacto
1114,Shopee,Mesas,Utilidades Domesticas,Jogo de Taça Diamante Copo Vidro Transparente Taças Abacaxi Gourmet Bico De Jaca 330ml
3673,Shopee,Controles,Fritadeiras Eletricas,"Air Fryer Fritadeira Elétrica Sem Óleo 3,1L Panela Elétrica para Fritar Alimentos 127V/220V"
1550,Shopee,Computadores,Cama e Banho,Kit 5 Toalha de Banho Maldivas 100% algodão 60x120cm Sortidas
1333,Shopee,Cadeiras de Escritorio,Utilidades Domesticas,"Garrafa Térmica Zaya Tuut 1L Canelada Design Sofisticado, Mantém Bebidas Quentes E Frias, Ideal Para Café E Chá"
3748,Shopee,Moveis,Utilidades Domesticas,Kit 10 ou 5 Potes Vidro Hermético 450ml Retangular Mantimentos Marmita Premium
1270,Shopee,Monitores,Utilidades Domesticas,Copo Térmico Inox Alça Flip Straw com canudo de Metal 1200ml
1590,Shopee,Utilidades Domesticas,Beleza,Clareador de Virilha e Axila Creme Clareador Partes Intimas - Clear Beauty Original
3607,Shopee,Controles,Cadeiras de Escritorio,Cadeira de jogo profissional Ergonomia Altura ajustável Cadeira de esportes eletrônicos F19
3580,Shopee,Moveis,Moda,KIT 3 Regatas Casual Basica  Suplex Duplo Blusa Feminina  Blogueira Tendencia
1377,Shopee,Cama e Banho,Utilidades Domesticas,caneca Kit Garrafa Térmica Vacuum Bottle Inox 500ml + 3 Xícaras Bebidas Fria ou Quente
